feature,gini_importance
1110065P20Rik,0.07811164259604776
Dhrs1,0.06210972202236002
4930512M02Rik,0.05798619223156301
9130019P16Rik,0.04673829086174794
1810010H24Rik,0.0457908530474744
AC154912.5,0.04014324176131764
4933404O12Rik,0.03734407475895202
Gm45570,0.03511323280779349
Brd3os,0.03361841772073184
Rps11-ps1,0.031064183283440697
1700010I14Rik,0.030483022932711667
Cdc42bpb,0.02966976601606852
AW112010,0.022536877649148614
Arhgap15os,0.022188243045081327
Txnrd1,0.021369962613248365
4930520O04Rik,0.020516408258528327
2410006H16Rik,0.020497398465031985
Gm36947,0.01981671848634881
Ankrd28,0.019560776490995514
4632428C04Rik,0.019093622299945368
Drc7,0.016751520978378117
Matr3,0.01665352816534491
A430027C01Rik,0.016571272729521504
4930412C18Rik,0.015392913329328921
4930570B17Rik,0.014859227571291139
Fam57b,0.01366619945913628
Polr3g,0.013400460942426745
Adh6a,0.01334094498046255
2010003K11Rik,0.01312780841113085
4930554C24Rik,0.012282999329981358
Akr1b10,0.011533928768528072
Egflam,0.011456589834357456
Olfr954,0.011362852711036082
Pcdh1,0.011049380401869414
Calhm2,0.01019677132450323
Myh7b,0.010109164862855756
2310039H08Rik,0.009832097363599019
4931403G20Rik,0.00900045374540263
Gm10575,0.008057550486088022
Sec14l3,0.007837527932137316
Bcl7c,0.007646263587153365
Gm5886,0.007591065564978192
A930037H05Rik,0.0070763210307239095
Mpp2,0.006085091978377293
Col4a5,0.005989679816794129
Paics,0.005780317817557539
Gm14204,0.00549607742832854
Jmy,0.00548189711200101
Eml1,0.005180081708703231
Gm40987,0.00343736327946612
